Distance (m),Elevation (m)
215699.16775749772,-4728.3369140625
216456.00694261177,-4732.23974609375
217212.8461277258,-4730.8076171875
217969.6853128398,-4729.57666015625
218726.52449795385,-4734.4541015625
219483.36368306787,-4731.7666015625
220240.2028681819,-4727.99462890625
220997.04205329594,-4724.1923828125
221753.88123840996,-4725.79345703125
222510.72042352398,-4727.5400390625
223267.559608638,-4726.2626953125
224024.39879375204,-4729.62646484375
224781.23797886606,-4726.41015625
225538.07716398008,-4702.94580078125
226294.91634909413,-4723.58251953125
227051.75553420815,-4723.8212890625
227808.59471932217,-4721.37255859375
228565.43390443618,-4720.4833984375
229322.27308955023,-4720.9892578125
230079.11227466425,-4720.88037109375
230835.95145977827,-4714.97265625
231592.79064489232,-4717.220703125
232349.62983000634,-4718.1650390625
233106.46901512035,-4716.77099609375
233863.3082002344,-4713.56396484375
234620.14738534842,-4713.98876953125
235376.98657046244,-4712.41357421875
236133.82575557646,-4624.29931640625
236890.6649406905,-4536.39892578125
237647.50412580452,-4479.6220703125
238404.34331091854,-4504.04638671875
239161.1824960326,-4427.466796875
239918.0216811466,-4324.7724609375
240674.86086626063,-4361.3125
241431.70005137465,-4467.576171875
242188.5392364887,-4443.11083984375
242945.3784216027,-4332.83251953125
243702.21760671673,-4501.9111328125
244459.05679183078,-4725.35693359375
245215.8959769448,-4741.8115234375
245972.73516205882,-4749.734375
246729.57434717286,-4739.14599609375
247486.41353228688,-4735.26953125
248243.2527174009,-4734.25927734375
249000.09190251492,-4737.634765625
249756.93108762897,-4748.02783203125
250513.770272743,-4752.6513671875
251270.609457857,-4761.13720703125
252027.44864297105,-4756.3515625
252784.28782808507,-4760.42822265625
253541.1270131991,-4760.56787109375
254297.9661983131,-4758.9814453125
255054.80538342716,-4757.34912109375
255811.64456854117,-4754.05419921875
256568.4837536552,-4758.81005859375
257325.32293876924,-4753.357421875
258082.16212388326,-4758.82373046875
258839.00130899728,-4764.599609375
259595.8404941113,-4759.09912109375
260352.67967922534,-4758.3388671875
261109.51886433936,-4753.49560546875
261866.35804945338,-4754.66455078125
262623.19723456743,-4756.5791015625
263380.03641968145,-4756.931640625
264136.87560479547,-4756.33642578125
264893.7147899095,-4758.44921875
265650.5539750235,-4756.58935546875
266407.3931601376,-4754.3896484375
267164.2323452516,-4750.40625
267921.0715303656,-4755.47119140625
268677.91071547964,-4756.75634765625
269434.74990059366,-4761.24951171875
270191.5890857077,-4761.13720703125
270948.4282708217,-4757.19091796875
271705.26745593577,-4759.2958984375
272462.1066410498,-4757.24609375
273218.9458261638,-4755.32470703125
273975.7850112778,-4755.44677734375
274732.62419639184,-4752.6181640625
275489.46338150586,-4752.4951171875
276246.3025666199,-4750.9990234375
277003.14175173396,-4760.0859375
277759.980936848,-4752.333984375
278516.820121962,-4739.42138671875
279273.659307076,-4539.1552734375
280030.49849219003,-4395.9609375
280787.33767730405,-4263.73779296875
281544.17686241807,-4231.60791015625
282301.01604753215,-4407.2607421875
283057.85523264616,-4724.0029296875
283814.6944177602,-4755.69970703125
284571.5336028742,-4756.08544921875
285328.3727879882,-4752.9208984375
286085.21197310224,-4763.1650390625
286842.0511582163,-4775.10205078125
287598.89034333033,-4761.4033203125
288355.72952844435,-4736.48828125
289112.5687135584,-4720.40283203125
289869.4078986724,-4699.96044921875
290626.2470837864,-4659.560546875
291383.0862689004,-4666.18359375
292139.9254540145,-4723.8525390625
292896.7646391285,-4783.8271484375
293653.60382424254,-4786.46337890625
294410.44300935656,-4781.9208984375
295167.2821944706,-4785.126953125
295924.1213795846,-4783.31689453125
296680.9605646986,-4782.84912109375
297437.7997498127,-4783.64892578125
298194.6389349267,-4784.7734375
298951.47812004073,-4782.71728515625
299708.31730515475,-4783.62890625
300465.15649026877,-4783.369140625
301221.9956753828,-4785.34912109375
301978.8348604968,-4783.73291015625
302735.6740456109,-4781.64794921875
303492.5132307249,-4784.0517578125
304249.3524158389,-4783.375
305006.19160095294,-4785.57177734375
305763.03078606696,-4786.001953125
306519.869971181,-4784.193359375
307276.709156295,-4784.10986328125
308033.54834140907,-4782.2783203125
308790.3875265231,-4784.28564453125
309547.2267116371,-4785.56982421875
310304.0658967511,-4785.51123046875
311060.90508186514,-4789.4541015625
311817.74426697916,-4787.84716796875
312574.5834520932,-4787.7783203125
313331.42263720726,-4786.326171875
314088.2618223213,-4791.20263671875
314845.1010074353,-4794.8310546875
315601.9401925493,-4799.7529296875
316358.77937766333,-4803.2783203125
317115.61856277735,-4807.5986328125
317872.4577478914,-4812.02587890625
318629.29693300545,-4814.25927734375
319386.13611811947,-4815.39501953125
320142.9753032335,-4816.1220703125
320899.8144883475,-4817.63671875
321656.6536734615,-4819.94873046875
322413.49285857554,-4821.08203125
323170.3320436896,-4844.4453125
323927.17122880364,-4845.62353515625
324684.01041391765,-4857.93310546875
325440.8495990317,-4839.8544921875
326197.6887841457,-4830.36181640625
326954.5279692597,-4847.12353515625
327711.36715437373,-4804.67919921875
328468.2063394878,-4704.154296875
329225.0455246018,-4652.3173828125
329981.88470971584,-4611.31201171875
330738.72389482986,-4714.6572265625
331495.5630799439,-4817.7880859375
332252.4022650579,-4842.1923828125
333009.2414501719,-4841.32470703125
333766.080635286,-4827.33056640625
334522.9198204,-4838.73876953125
335279.75900551403,-4839.30419921875
336036.59819062805,-4835.529296875
336793.43737574207,-4835.39892578125
337550.2765608561,-4842.3359375
338307.1157459701,-4839.3837890625
339063.9549310842,-4847.61669921875
339820.7941161982,-4846.9208984375
340577.6333013122,-4841.56982421875
341334.47248642624,-4845.8876953125
342091.31167154026,-4847.84912109375
342848.1508566543,-4846.81396484375
343604.99004176835,-4854.97021484375
344361.8292268824,-4856.9521484375
345118.6684119964,-4862.75732421875
345875.5075971104,-4870.05224609375
346632.3467822244,-4862.1748046875
347389.18596733845,-4866.646484375
348146.02515245246,-4871.74365234375
348902.86433756654,-4884.32080078125
349659.70352268056,-4881.1005859375
350416.5427077946,-4868.142578125
351173.3818929086,-4864.56884765625
351930.2210780226,-4862.2783203125
352687.06026313663,-4860.42724609375
353443.89944825065,-4857.828125
354200.73863336473,-4853.7783203125
354957.57781847875,-4855.32275390625
355714.41700359277,-4859.30810546875
356471.2561887068,-4862.2666015625
357228.0953738208,-4863.921875
357984.9345589348,-4864.55712890625
358741.77374404884,-4871.1904296875
359498.6129291629,-4872.48681640625
360255.45211427694,-4872.61279296875
361012.29129939096,-4870.80029296875
361769.130484505,-4871.67138671875
362525.969669619,-4870.82470703125
363282.808854733,-4870.45361328125
364039.64803984703,-4872.43994140625
364796.4872249611,-4873.77099609375
365553.3264100751,-4874.06494140625
366310.16559518914,-4875.2001953125
367067.00478030316,-4876.126953125
367823.8439654172,-4877.7421875
368580.6831505312,-4879.12939453125
369337.5223356452,-4882.42724609375
370094.3615207593,-4884.9697265625
370851.2007058733,-4886.32373046875
371608.03989098733,-4887.19140625
372364.87907610135,-4887.64599609375
373121.71826121537,-4888.6953125
373878.5574463294,-4889.3935546875
374635.39663144347,-4894.37646484375
375392.2358165575,-4893.15234375
376149.0750016715,-4892.66259765625
376905.9141867855,-4892.3857421875
377662.75337189954,-4894.06689453125
378419.59255701356,-4897.275390625
379176.4317421276,-4896.685546875
379933.27092724165,-4895.791015625
380690.1101123557,-4896.63916015625
381446.9492974697,-4901.43115234375
382203.7884825837,-4904.65771484375
382960.6276676977,-4909.267578125
383717.46685281175,-4910.48193359375
384474.30603792577,-4911.7978515625
385231.14522303984,-4914.58837890625
385987.98440815386,-4916.7138671875
386744.8235932679,-4917.14453125
